"Ticker","Nome","Negócios","Última (R$)","Variação"
"INEP4","Inepar","18.000","2,12","-0,47%"
"COCE5","Coelce","17.800","32,30","+2,54%"
"RAPT3","Randon","17.400","8,93","+2,06%"
"ALUP4","Alupar","16.600","10,45","+3,06%"
"BMEB4","Banco Mercantil do Brasil","14.800","39,00","+1,30%"
"RSID3","Rossi Residencial","14.700","3,83","+0,00%"
"EQPA3","Equatorial Energia Pará","14.500","6,00","+1,18%"
"TASA3","Taurus","13.700","11,41","+1,69%"
"BEES3","Banestes","12.900","9,02","+0,22%"
"LVTC3","WDC Networks","12.800","3,69","-3,40%"
"ALUP3","Alupar","10.800","10,75","+2,38%"
"DEXP4","Dexxos","9.700","9,50","-0,52%"
"SNSY5","Sansuy","9.600","5,71","-0,87%"
"BRKM3","Braskem","9.500","17,92","-1,81%"
"UNIP3","Unipar","8.800","47,39","+1,91%"
"OIBR4","Oi","8.800","12,05","-1,23%"
"EALT3","Electro Aço Altona","8.100","13,55","+0,15%"
"BRSR3","Banrisul","7.300","13,65","+0,74%"
"PTNT4","Pettenati","7.300","7,26","+6,45%"
"IGTI3","Iguatemi","6.700","2,78","+0,72%"
"IGTI3","Jereissati Participações","6.700","2,78","+0,72%"
"EPAR3","Embpar Participações","6.500","5,93","+0,68%"
"NINJ3","GetNinjas","6.500","4,70","+0,00%"
"ATMP3","Atma","6.500","1,38","-0,72%"
"NUTR3","Nutriplant","6.100","4,87","+2,74%"
"ENGI4","Energisa","6.000","8,14","+0,12%"
"ENGI3","Energisa","5.600","14,67","+3,24%"
"ATOM3","ATOM","5.600","2,07","+0,49%"
"PATI3","Panatlântica","5.500","40,70","+1,45%"
"CEBR3","CEB","5.500","19,48","-1,62%"
"TELB4","Telebras","4.600","9,30","-1,69%"
"MTSA4","Metisa","4.300","44,88","+1,31%"
"AMAR11","Lojas Marisa","4.200","0,53","+0,00%"
"FHER3","Fertilizantes Heringer","4.100","4,15","+0,00%"
"RDNI3","RNI","4.100","3,30","+2,17%"
"AZEV11","Azevedo & Travassos","4.000","0,50","-1,96%"
"VSTE3","LE LIS BLANC","3.500","13,00","+0,00%"
"BAHI3","Bahema","3.200","6,39","+3,06%"
"HAGA4","Haga","3.200","1,19","+1,71%"
"CLSC4","Celesc","3.000","78,85","+1,35%"
"RSUL4","Metalúrgica Riosulense","3.000","64,90","-0,05%"
"CRPG5","Tronox Pigmentos","3.000","28,98","+0,28%"
"CEBR6","CEB","3.000","18,05","+0,28%"
"MNDL3","Mundial","3.000","14,11","+6,09%"
"ALPA3","Alpargatas","2.800","7,84","-1,38%"
"CGAS5","Comgás","2.700","120,00","+0,00%"
"CGRA4","Grazziotin","2.700","25,29","-0,24%"
"CEBR5","CEB","2.700","16,70","+0,66%"
"BMEB3","Banco Mercantil do Brasil","2.500","36,00","+1,04%"
"WHRL4","Whirlpool","2.500","4,51","+0,22%"
"BOBR4","Bombril","2.500","2,13","+1,43%"
"TRPL3","Transmissão Paulista","2.400","32,26","+1,07%"
"BPAC5","Banco BTG Pactual","2.300","9,46","-0,73%"
"UNIP5","Unipar","1.600","49,00","+1,62%"
"APER3","Alper","1.600","46,75","+0,56%"
"EKTR4","Elektro","1.600","43,22","+0,05%"
"LUXM4","Trevisa","1.600","13,99","+0,21%"
"BEES4","Banestes","1.500","9,86","+0,82%"
"TELB3","Telebras","1.400","13,62","-2,71%"
"BIOM11","Biomm","1.300","0,28","-28,21%"
"PSVM11","PORTO VM","1.100","5,72","+0,00%"
"BGIP4","Banese","1.000","23,23","+0,04%"
"NEXP3","Brasil Brokers","1.000","4,09","+0,25%"
"HAGA3","Haga","1.000","2,37","+2,16%"
"PINE3","Banco Pine","800","5,59","-0,18%"
"DOHL4","Döhler","800","4,37","+4,55%"
"WHRL3","Whirlpool","700","4,26","+0,24%"
"CTSA3","Santanense","700","2,76","+0,36%"
"ENMT4","Energisa MT","600","83,58","+4,61%"
"PEAB4","Participações Aliança da Bahia","600","48,50","+5,39%"
"MNPR3","Minupar","600","16,01","+0,00%"
"BAZA3","Banco da Amazônia","500","98,50","+0,66%"
"GEPA4","Rio Paranapanema Energia","500","27,45","+1,67%"
"CEDO4","Cedro Têxtil","500","24,50","-0,33%"
"PTNT3","Pettenati","500","9,37","-1,16%"
"RPAD5","Alfa Holdings","500","8,62","-1,15%"
"REDE3","Rede Energia","500","7,00","+0,14%"
"OSXB3","OSX Brasil","500","3,87","-0,77%"
"SNSY3","Sansuy","400","13,29","+0,76%"
"BDLL4","Bardella","400","9,40","+3,41%"
"PEAB3","Participações Aliança da Bahia","300","42,22","+0,09%"
"EMAE4","EMAE","300","41,29","+1,10%"
"MGEL4","Mangels","300","11,00","-4,35%"
"HETA4","Hercules","300","5,89","+9,07%"
"BNBR3","Banco do Nordeste","200","106,00","+0,00%"
"PATI4","Panatlântica","200","42,00","+0,00%"
"WLMM4","WLM","200","36,00","+0,00%"
"MRSA3B","MRS Logística","200","29,80","-3,87%"
"CRPG6","Tronox Pigmentos","200","28,51","+0,04%"
"EUCA3","Eucatex","200","17,40","-0,23%"
"BPAC3","Banco BTG Pactual","200","16,33","-0,06%"
"NORD3","Nordon","200","11,91","+13,32%"
"BALM4","Baumer","200","10,65","-0,47%"
"BSLI4","Banco de Brasília","200","9,98","+0,50%"
"PLAS3","Plascar","200","6,00","-0,17%"
"HOOT4","Hotéis Othon","200","2,37","+4,87%"
"BAUH4","Excelsior","100","79,87","+0,00%"
"EMAE3","EMAE","100","68,45","-1,20%"
"LIPR3","Eletropar","100","47,50","+0,00%"
"HBTS5","Habitasul","100","38,90","+0,00%"
"WLMM3","WLM","100","28,80","+1,05%"
"GEPA3","Rio Paranapanema Energia","100","26,45","+0,00%"
"JOPA3","Josapar","100","22,80","+3,64%"
"CTKA4","Karsten","100","19,50","+2,09%"
"CEED3","CEEE D","100","14,00","+7,69%"
"MWET4","Wetzel","100","9,20","+0,00%"
"FIEI3","Fica","100","8,30","-7,37%"
"AFLT3","Afluente T","100","7,15","-0,83%"
"MAPT4","Cemepe","100","5,00","+0,00%"
"BMKS3","Monark","36","307,51","+1,12%"
"CPLE5","Copel","3.600","12,80","+4,07%"
"CSRN3","COSERN","3.300","13,60","+0,82%"
"FESA3","Ferbasa","700","13,71","-6,16%"
"CLSC3","Celesc","600","76,00","+5,47%"
"AHEB5","São Paulo Turismo","500","40,00","+14,29%"
"CEEB3","COELBA","300","39,10","-0,26%"
"ENMT3","Energisa MT","200","85,00","+1,20%"
"PINE11","Banco Pine","200","7,80","+0,00%"
"TEKA4","Teka","100","34,00","+12,21%"
"CSRN5","COSERN","100","15,10","+0,67%"
"IGTI4","Jereissati Participações","100","9,86","-1,60%"
"IGTI4","Iguatemi","100","9,86","-1,60%"
"EQPA5","Equatorial Energia Pará","100","8,14","-11,43%"
"DTCY3","Dtcom","100","4,60","+0,00%"
"MRSA6B","MRS Logística","200","31,50","-3,08%"
"CSRN6","COSERN","200","15,50","+6,90%"
"ESTR4","Estrela","200","2,07","+0,00%"
"BMIN4","Banco Mercantil de Investimentos","100","16,00","-4,19%"
"EQMA3B","Equatorial Maranhão","700","25,50","+3,66%"
"BMIN3","Banco Mercantil de Investimentos","600","18,64","-4,99%"
"CGRA3","Grazziotin","200","25,74","+0,94%"
"BALM3","Baumer","200","12,50","+0,00%"
"CIEL3","Cielo","3.859.900","5,83","+0,00%"
"BSLI3","Banco de Brasília","500","10,43","-4,14%"
"AHEB3","São Paulo Turismo","400","35,00","-2,78%"
"TKNO4","Tekno","100","85,00","-4,49%"
"CEDO3","Cedro Têxtil","100","26,11","+0,00%"
"BGIP3","Banese","100","25,12","-1,49%"
"BRSR5","Banrisul","100","16,00","-5,88%"
"MAPT3","Cemepe","100","4,21","+0,00%"
"MRSA5B","MRS Logística","300","29,00","-3,33%"
"CBEE3","Ampla Energia","100","9,80","+0,00%"
"MSPA3","Melhoramentos","8.400","42,00","-1,64%"
"MSPA4","Melhoramentos","1.200","36,30","+0,00%"
"RPAD3","Alfa Holdings","400","9,00","-4,26%"
"BRKM6","Braskem","100","13,97","-0,21%"
"USIM6","Usiminas","100","9,90","+0,20%"
"CGAS3","Comgás","500","109,00","+0,00%"
"AHEB6","São Paulo Turismo","200","35,50","+77,50%"
"MERC4","Mercantil do Brasil Financeira","900","9,40","+0,97%"
